"","roc_curve.specificities"
"1",0
"2",0
"3",0
"4",0.0714285714285714
"5",0.0714285714285714
"6",0.0714285714285714
"7",0.142857142857143
"8",0.214285714285714
"9",0.214285714285714
"10",0.214285714285714
"11",0.214285714285714
"12",0.285714285714286
"13",0.285714285714286
"14",0.285714285714286
"15",0.285714285714286
"16",0.285714285714286
"17",0.357142857142857
"18",0.428571428571429
"19",0.428571428571429
"20",0.428571428571429
"21",0.428571428571429
"22",0.428571428571429
"23",0.428571428571429
"24",0.5
"25",0.5
"26",0.5
"27",0.5
"28",0.5
"29",0.5
"30",0.5
"31",0.5
"32",0.5
"33",0.5
"34",0.5
"35",0.5
"36",0.5
"37",0.5
"38",0.5
"39",0.571428571428571
"40",0.571428571428571
"41",0.571428571428571
"42",0.571428571428571
"43",0.571428571428571
"44",0.571428571428571
"45",0.571428571428571
"46",0.571428571428571
"47",0.571428571428571
"48",0.571428571428571
"49",0.571428571428571
"50",0.571428571428571
"51",0.571428571428571
"52",0.571428571428571
"53",0.642857142857143
"54",0.642857142857143
"55",0.642857142857143
"56",0.642857142857143
"57",0.642857142857143
"58",0.642857142857143
"59",0.642857142857143
"60",0.642857142857143
"61",0.642857142857143
"62",0.642857142857143
"63",0.642857142857143
"64",0.714285714285714
"65",0.714285714285714
"66",0.714285714285714
"67",0.714285714285714
"68",0.714285714285714
"69",0.714285714285714
"70",0.714285714285714
"71",0.714285714285714
"72",0.714285714285714
"73",0.785714285714286
"74",0.785714285714286
"75",0.785714285714286
"76",0.785714285714286
"77",0.785714285714286
"78",0.785714285714286
"79",0.785714285714286
"80",0.785714285714286
"81",0.785714285714286
"82",0.785714285714286
"83",0.785714285714286
"84",0.785714285714286
"85",0.785714285714286
"86",0.785714285714286
"87",0.857142857142857
"88",0.857142857142857
"89",0.857142857142857
"90",0.857142857142857
"91",0.857142857142857
"92",0.857142857142857
"93",0.857142857142857
"94",0.857142857142857
"95",0.857142857142857
"96",0.857142857142857
"97",0.857142857142857
"98",0.857142857142857
"99",0.857142857142857
"100",0.857142857142857
"101",0.857142857142857
"102",0.857142857142857
"103",0.928571428571429
"104",0.928571428571429
"105",0.928571428571429
"106",0.928571428571429
"107",0.928571428571429
"108",0.928571428571429
"109",0.928571428571429
"110",0.928571428571429
"111",0.928571428571429
"112",0.928571428571429
"113",0.928571428571429
"114",0.928571428571429
"115",1
"116",1
"117",1
