"","roc_curve.sensitivities"
"1",1
"2",0.990196078431373
"3",0.980392156862745
"4",0.980392156862745
"5",0.970588235294118
"6",0.96078431372549
"7",0.96078431372549
"8",0.96078431372549
"9",0.950980392156863
"10",0.941176470588235
"11",0.931372549019608
"12",0.931372549019608
"13",0.92156862745098
"14",0.911764705882353
"15",0.901960784313726
"16",0.892156862745098
"17",0.892156862745098
"18",0.892156862745098
"19",0.882352941176471
"20",0.872549019607843
"21",0.862745098039216
"22",0.852941176470588
"23",0.843137254901961
"24",0.843137254901961
"25",0.833333333333333
"26",0.823529411764706
"27",0.813725490196078
"28",0.803921568627451
"29",0.794117647058823
"30",0.784313725490196
"31",0.774509803921569
"32",0.764705882352941
"33",0.754901960784314
"34",0.745098039215686
"35",0.735294117647059
"36",0.725490196078431
"37",0.715686274509804
"38",0.705882352941177
"39",0.705882352941177
"40",0.696078431372549
"41",0.686274509803922
"42",0.676470588235294
"43",0.666666666666667
"44",0.656862745098039
"45",0.647058823529412
"46",0.637254901960784
"47",0.627450980392157
"48",0.617647058823529
"49",0.607843137254902
"50",0.598039215686274
"51",0.588235294117647
"52",0.57843137254902
"53",0.57843137254902
"54",0.568627450980392
"55",0.558823529411765
"56",0.549019607843137
"57",0.53921568627451
"58",0.529411764705882
"59",0.519607843137255
"60",0.509803921568627
"61",0.5
"62",0.490196078431373
"63",0.480392156862745
"64",0.480392156862745
"65",0.470588235294118
"66",0.46078431372549
"67",0.450980392156863
"68",0.441176470588235
"69",0.431372549019608
"70",0.42156862745098
"71",0.411764705882353
"72",0.401960784313726
"73",0.401960784313726
"74",0.392156862745098
"75",0.382352941176471
"76",0.372549019607843
"77",0.362745098039216
"78",0.352941176470588
"79",0.343137254901961
"80",0.333333333333333
"81",0.323529411764706
"82",0.313725490196078
"83",0.303921568627451
"84",0.294117647058824
"85",0.284313725490196
"86",0.274509803921569
"87",0.274509803921569
"88",0.264705882352941
"89",0.254901960784314
"90",0.245098039215686
"91",0.235294117647059
"92",0.225490196078431
"93",0.215686274509804
"94",0.205882352941176
"95",0.196078431372549
"96",0.186274509803922
"97",0.176470588235294
"98",0.166666666666667
"99",0.156862745098039
"100",0.147058823529412
"101",0.137254901960784
"102",0.127450980392157
"103",0.127450980392157
"104",0.117647058823529
"105",0.107843137254902
"106",0.0980392156862745
"107",0.0882352941176471
"108",0.0784313725490196
"109",0.0686274509803922
"110",0.0588235294117647
"111",0.0490196078431373
"112",0.0392156862745098
"113",0.0294117647058824
"114",0.0196078431372549
"115",0.0196078431372549
"116",0.00980392156862745
"117",0
