"","roc_curve.sensitivities"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",0.971428571428571
"11",0.942857142857143
"12",0.942857142857143
"13",0.942857142857143
"14",0.942857142857143
"15",0.942857142857143
"16",0.942857142857143
"17",0.942857142857143
"18",0.942857142857143
"19",0.942857142857143
"20",0.942857142857143
"21",0.942857142857143
"22",0.942857142857143
"23",0.942857142857143
"24",0.942857142857143
"25",0.914285714285714
"26",0.914285714285714
"27",0.885714285714286
"28",0.885714285714286
"29",0.857142857142857
"30",0.857142857142857
"31",0.857142857142857
"32",0.828571428571429
"33",0.828571428571429
"34",0.828571428571429
"35",0.828571428571429
"36",0.828571428571429
"37",0.828571428571429
"38",0.828571428571429
"39",0.828571428571429
"40",0.828571428571429
"41",0.828571428571429
"42",0.828571428571429
"43",0.828571428571429
"44",0.8
"45",0.771428571428571
"46",0.771428571428571
"47",0.771428571428571
"48",0.771428571428571
"49",0.742857142857143
"50",0.742857142857143
"51",0.742857142857143
"52",0.714285714285714
"53",0.685714285714286
"54",0.685714285714286
"55",0.657142857142857
"56",0.628571428571429
"57",0.6
"58",0.6
"59",0.6
"60",0.6
"61",0.6
"62",0.6
"63",0.571428571428571
"64",0.571428571428571
"65",0.571428571428571
"66",0.571428571428571
"67",0.542857142857143
"68",0.542857142857143
"69",0.514285714285714
"70",0.514285714285714
"71",0.514285714285714
"72",0.514285714285714
"73",0.514285714285714
"74",0.485714285714286
"75",0.457142857142857
"76",0.428571428571429
"77",0.4
"78",0.371428571428571
"79",0.342857142857143
"80",0.314285714285714
"81",0.285714285714286
"82",0.257142857142857
"83",0.228571428571429
"84",0.228571428571429
"85",0.2
"86",0.171428571428571
"87",0.142857142857143
"88",0.114285714285714
"89",0.0857142857142857
"90",0.0571428571428571
"91",0.0571428571428571
"92",0.0285714285714286
"93",0
