"","roc_curve.specificities"
"1",0
"2",0.027027027027027
"3",0.027027027027027
"4",0.0540540540540541
"5",0.0540540540540541
"6",0.0540540540540541
"7",0.0810810810810811
"8",0.0810810810810811
"9",0.0810810810810811
"10",0.0810810810810811
"11",0.108108108108108
"12",0.135135135135135
"13",0.135135135135135
"14",0.135135135135135
"15",0.135135135135135
"16",0.162162162162162
"17",0.162162162162162
"18",0.189189189189189
"19",0.216216216216216
"20",0.216216216216216
"21",0.243243243243243
"22",0.243243243243243
"23",0.27027027027027
"24",0.297297297297297
"25",0.324324324324324
"26",0.324324324324324
"27",0.324324324324324
"28",0.351351351351351
"29",0.351351351351351
"30",0.378378378378378
"31",0.378378378378378
"32",0.405405405405405
"33",0.432432432432432
"34",0.432432432432432
"35",0.459459459459459
"36",0.459459459459459
"37",0.486486486486487
"38",0.486486486486487
"39",0.486486486486487
"40",0.513513513513513
"41",0.540540540540541
"42",0.567567567567568
"43",0.567567567567568
"44",0.594594594594595
"45",0.594594594594595
"46",0.621621621621622
"47",0.621621621621622
"48",0.648648648648649
"49",0.648648648648649
"50",0.675675675675676
"51",0.675675675675676
"52",0.675675675675676
"53",0.675675675675676
"54",0.675675675675676
"55",0.675675675675676
"56",0.675675675675676
"57",0.702702702702703
"58",0.702702702702703
"59",0.702702702702703
"60",0.72972972972973
"61",0.72972972972973
"62",0.72972972972973
"63",0.756756756756757
"64",0.756756756756757
"65",0.756756756756757
"66",0.756756756756757
"67",0.756756756756757
"68",0.783783783783784
"69",0.783783783783784
"70",0.783783783783784
"71",0.810810810810811
"72",0.810810810810811
"73",0.837837837837838
"74",0.864864864864865
"75",0.864864864864865
"76",0.864864864864865
"77",0.864864864864865
"78",0.864864864864865
"79",0.864864864864865
"80",0.891891891891892
"81",0.891891891891892
"82",0.891891891891892
"83",0.891891891891892
"84",0.918918918918919
"85",0.918918918918919
"86",0.918918918918919
"87",0.918918918918919
"88",0.945945945945946
"89",0.945945945945946
"90",0.945945945945946
"91",0.945945945945946
"92",0.945945945945946
"93",0.945945945945946
"94",0.972972972972973
"95",0.972972972972973
"96",0.972972972972973
"97",0.972972972972973
"98",0.972972972972973
"99",0.972972972972973
"100",0.972972972972973
"101",1
"102",1
"103",1
