"","roc_curve.sensitivities"
"1",1
"2",1
"3",0.984615384615385
"4",0.984615384615385
"5",0.969230769230769
"6",0.953846153846154
"7",0.953846153846154
"8",0.938461538461538
"9",0.923076923076923
"10",0.907692307692308
"11",0.907692307692308
"12",0.907692307692308
"13",0.892307692307692
"14",0.876923076923077
"15",0.861538461538462
"16",0.861538461538462
"17",0.846153846153846
"18",0.846153846153846
"19",0.846153846153846
"20",0.830769230769231
"21",0.830769230769231
"22",0.815384615384615
"23",0.815384615384615
"24",0.815384615384615
"25",0.815384615384615
"26",0.8
"27",0.784615384615385
"28",0.784615384615385
"29",0.769230769230769
"30",0.769230769230769
"31",0.753846153846154
"32",0.753846153846154
"33",0.753846153846154
"34",0.738461538461539
"35",0.738461538461539
"36",0.723076923076923
"37",0.723076923076923
"38",0.707692307692308
"39",0.692307692307692
"40",0.692307692307692
"41",0.692307692307692
"42",0.692307692307692
"43",0.676923076923077
"44",0.676923076923077
"45",0.661538461538462
"46",0.661538461538462
"47",0.646153846153846
"48",0.646153846153846
"49",0.630769230769231
"50",0.630769230769231
"51",0.615384615384615
"52",0.6
"53",0.584615384615385
"54",0.569230769230769
"55",0.553846153846154
"56",0.538461538461538
"57",0.538461538461538
"58",0.523076923076923
"59",0.507692307692308
"60",0.507692307692308
"61",0.492307692307692
"62",0.476923076923077
"63",0.476923076923077
"64",0.461538461538462
"65",0.446153846153846
"66",0.430769230769231
"67",0.415384615384615
"68",0.415384615384615
"69",0.4
"70",0.384615384615385
"71",0.384615384615385
"72",0.369230769230769
"73",0.369230769230769
"74",0.369230769230769
"75",0.353846153846154
"76",0.338461538461538
"77",0.323076923076923
"78",0.307692307692308
"79",0.292307692307692
"80",0.292307692307692
"81",0.276923076923077
"82",0.261538461538462
"83",0.246153846153846
"84",0.246153846153846
"85",0.230769230769231
"86",0.215384615384615
"87",0.2
"88",0.2
"89",0.184615384615385
"90",0.169230769230769
"91",0.153846153846154
"92",0.138461538461538
"93",0.123076923076923
"94",0.123076923076923
"95",0.107692307692308
"96",0.0923076923076923
"97",0.0769230769230769
"98",0.0615384615384615
"99",0.0461538461538462
"100",0.0307692307692308
"101",0.0307692307692308
"102",0.0153846153846154
"103",0
