"","roc_curve.specificities"
"1",0
"2",0.027027027027027
"3",0.0540540540540541
"4",0.0810810810810811
"5",0.0810810810810811
"6",0.108108108108108
"7",0.108108108108108
"8",0.108108108108108
"9",0.135135135135135
"10",0.162162162162162
"11",0.189189189189189
"12",0.216216216216216
"13",0.243243243243243
"14",0.27027027027027
"15",0.297297297297297
"16",0.297297297297297
"17",0.297297297297297
"18",0.324324324324324
"19",0.324324324324324
"20",0.324324324324324
"21",0.351351351351351
"22",0.378378378378378
"23",0.405405405405405
"24",0.405405405405405
"25",0.432432432432432
"26",0.432432432432432
"27",0.459459459459459
"28",0.486486486486487
"29",0.513513513513513
"30",0.540540540540541
"31",0.567567567567568
"32",0.567567567567568
"33",0.594594594594595
"34",0.621621621621622
"35",0.648648648648649
"36",0.675675675675676
"37",0.702702702702703
"38",0.72972972972973
"39",0.756756756756757
"40",0.783783783783784
"41",0.783783783783784
"42",0.810810810810811
"43",0.837837837837838
"44",0.837837837837838
"45",0.837837837837838
"46",0.837837837837838
"47",0.837837837837838
"48",0.864864864864865
"49",0.864864864864865
"50",0.864864864864865
"51",0.864864864864865
"52",0.864864864864865
"53",0.864864864864865
"54",0.891891891891892
"55",0.891891891891892
"56",0.918918918918919
"57",0.945945945945946
"58",0.945945945945946
"59",0.945945945945946
"60",0.972972972972973
"61",0.972972972972973
"62",0.972972972972973
"63",0.972972972972973
"64",0.972972972972973
"65",0.972972972972973
"66",0.972972972972973
"67",1
"68",1
