"","roc_curve.sensitivities"
"1",1
"2",1
"3",1
"4",0.966666666666667
"5",0.966666666666667
"6",0.966666666666667
"7",0.966666666666667
"8",0.966666666666667
"9",0.966666666666667
"10",0.966666666666667
"11",0.966666666666667
"12",0.966666666666667
"13",0.966666666666667
"14",0.933333333333333
"15",0.933333333333333
"16",0.9
"17",0.9
"18",0.9
"19",0.866666666666667
"20",0.866666666666667
"21",0.866666666666667
"22",0.866666666666667
"23",0.833333333333333
"24",0.8
"25",0.8
"26",0.8
"27",0.8
"28",0.8
"29",0.8
"30",0.766666666666667
"31",0.766666666666667
"32",0.766666666666667
"33",0.766666666666667
"34",0.766666666666667
"35",0.766666666666667
"36",0.766666666666667
"37",0.766666666666667
"38",0.766666666666667
"39",0.766666666666667
"40",0.766666666666667
"41",0.766666666666667
"42",0.766666666666667
"43",0.766666666666667
"44",0.766666666666667
"45",0.766666666666667
"46",0.766666666666667
"47",0.733333333333333
"48",0.733333333333333
"49",0.7
"50",0.666666666666667
"51",0.666666666666667
"52",0.666666666666667
"53",0.666666666666667
"54",0.666666666666667
"55",0.666666666666667
"56",0.666666666666667
"57",0.633333333333333
"58",0.6
"59",0.6
"60",0.566666666666667
"61",0.533333333333333
"62",0.5
"63",0.5
"64",0.466666666666667
"65",0.466666666666667
"66",0.433333333333333
"67",0.433333333333333
"68",0.4
"69",0.4
"70",0.4
"71",0.4
"72",0.366666666666667
"73",0.333333333333333
"74",0.3
"75",0.3
"76",0.266666666666667
"77",0.233333333333333
"78",0.233333333333333
"79",0.2
"80",0.2
"81",0.166666666666667
"82",0.166666666666667
"83",0.133333333333333
"84",0.133333333333333
"85",0.133333333333333
"86",0.1
"87",0.1
"88",0.1
"89",0.0666666666666667
"90",0.0333333333333333
"91",0
"92",0
"93",0
