"","roc_curve.specificities"
"1",0
"2",0.0161290322580645
"3",0.032258064516129
"4",0.032258064516129
"5",0.0483870967741935
"6",0.0645161290322581
"7",0.0806451612903226
"8",0.0967741935483871
"9",0.112903225806452
"10",0.129032258064516
"11",0.145161290322581
"12",0.161290322580645
"13",0.17741935483871
"14",0.17741935483871
"15",0.193548387096774
"16",0.193548387096774
"17",0.209677419354839
"18",0.225806451612903
"19",0.225806451612903
"20",0.241935483870968
"21",0.258064516129032
"22",0.274193548387097
"23",0.274193548387097
"24",0.274193548387097
"25",0.290322580645161
"26",0.306451612903226
"27",0.32258064516129
"28",0.338709677419355
"29",0.354838709677419
"30",0.354838709677419
"31",0.370967741935484
"32",0.387096774193548
"33",0.403225806451613
"34",0.419354838709677
"35",0.435483870967742
"36",0.451612903225806
"37",0.467741935483871
"38",0.483870967741935
"39",0.5
"40",0.516129032258065
"41",0.532258064516129
"42",0.548387096774194
"43",0.564516129032258
"44",0.580645161290323
"45",0.596774193548387
"46",0.612903225806452
"47",0.612903225806452
"48",0.629032258064516
"49",0.629032258064516
"50",0.629032258064516
"51",0.645161290322581
"52",0.661290322580645
"53",0.67741935483871
"54",0.693548387096774
"55",0.709677419354839
"56",0.725806451612903
"57",0.725806451612903
"58",0.725806451612903
"59",0.741935483870968
"60",0.741935483870968
"61",0.741935483870968
"62",0.741935483870968
"63",0.758064516129032
"64",0.758064516129032
"65",0.774193548387097
"66",0.774193548387097
"67",0.790322580645161
"68",0.790322580645161
"69",0.806451612903226
"70",0.82258064516129
"71",0.838709677419355
"72",0.838709677419355
"73",0.838709677419355
"74",0.838709677419355
"75",0.854838709677419
"76",0.854838709677419
"77",0.854838709677419
"78",0.870967741935484
"79",0.870967741935484
"80",0.887096774193548
"81",0.887096774193548
"82",0.903225806451613
"83",0.903225806451613
"84",0.919354838709677
"85",0.935483870967742
"86",0.935483870967742
"87",0.951612903225806
"88",0.967741935483871
"89",0.967741935483871
"90",0.967741935483871
"91",0.967741935483871
"92",0.983870967741935
"93",1
